system:index,B11,B12,B2,B3,B4,B8,class,.geo
1_0_0,0.3745,0.2676,0.15805,0.1856,0.17815,0.4206,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,0.303,0.1972,0.1455,0.1804,0.1568,0.4848,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,0.3009,0.19605,0.1168,0.1535,0.1299,0.4652,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,0.3785,0.2663,0.1654,0.2001,0.1794,0.43,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,0.34515,0.2214,0.1436,0.1728,0.1476,0.54145,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,0.33695,0.22385,0.1388,0.1761,0.1435,0.5394,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_0,0.3111,0.2121,0.1314,0.1674,0.1553,0.4352,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,0.2737,0.1765,0.1307,0.1491,0.1253,0.4072,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,0.2838,0.1865,0.1376,0.18285,0.1481,0.4288,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,0.3183,0.2182,0.135,0.1835,0.1588,0.466,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,0.3191,0.20685,0.14115,0.17095,0.14475,0.502,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,0.30675,0.21125,0.14075,0.16315,0.14355,0.4558,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_0,0.33525,0.2161,0.1359,0.17855,0.1464,0.5202,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_0,0.3133,0.2103,0.1292,0.1708,0.148,0.4792,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_0,0.3562,0.2445,0.1458,0.1938,0.1568,0.5248,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_0,0.299,0.1889,0.1327,0.1625,0.1322,0.5068,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_0,0.3593,0.2645,0.1302,0.1758,0.166,0.4204,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_0,0.3836,0.2879,0.1514,0.1888,0.1858,0.4564,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_0,0.3479,0.2521,0.1362,0.1711,0.1655,0.4372,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_0,0.3764,0.2599,0.1472,0.1816,0.1714,0.4372,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_0,0.3505,0.2402,0.142,0.1677,0.144,0.4768,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21_0,0.32735,0.22325,0.146,0.17355,0.1528,0.4714,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22_0,0.3513,0.22505,0.1298,0.1711,0.13875,0.5766,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23_0,0.3235,0.225,0.1437,0.1888,0.1568,0.4924,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24_0,0.3035,0.20375,0.13895,0.1715,0.14715,0.4237,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25_0,0.2837,0.1797,0.1334,0.153,0.1284,0.4568,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26_0,0.3051,0.2012,0.1448,0.1557,0.1425,0.3776,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27_0,0.3435,0.222,0.1336,0.1675,0.1409,0.52,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28_0,0.3268,0.2217,0.1402,0.1803,0.1536,0.5168,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29_0,0.34265,0.23175,0.14555,0.1848,0.1546,0.4662,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30_0,0.3245,0.2139,0.1415,0.171,0.1402,0.4388,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31_0,0.3722,0.269,0.1611,0.1995,0.18,0.4484,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32_0,0.2967,0.19,0.1304,0.1558,0.1307,0.4628,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33_0,0.3519,0.2246,0.1411,0.1744,0.1468,0.4936,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34_0,0.284,0.1878,0.1296,0.1662,0.1456,0.4388,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35_0,0.2946,0.19605,0.1367,0.1566,0.1362,0.4936,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36_0,0.3771,0.25065,0.1509,0.19005,0.16005,0.4982,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37_0,0.41115,0.30565,0.16665,0.2082,0.2,0.4728,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38_0,0.34565,0.272,0.14575,0.1778,0.1689,0.4022,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39_0,0.2871,0.18605,0.1446,0.1792,0.15275,0.4954,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40_0,0.3817,0.27835,0.15425,0.18995,0.17225,0.43235,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41_0,0.3181,0.2403,0.1482,0.178,0.1619,0.4444,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42_0,0.37525,0.28485,0.1616,0.1872,0.1902,0.4498,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43_0,0.2873,0.19695,0.13795,0.16795,0.1473,0.3902,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44_0,0.3561,0.2415,0.1517,0.1774,0.1556,0.4519,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45_0,0.3604,0.2519,0.1387,0.1758,0.1604,0.4816,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46_0,0.3912,0.29435,0.15255,0.1842,0.17,0.46,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47_0,0.3028,0.1987,0.1161,0.1495,0.1308,0.5212,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48_0,0.33585,0.2251,0.13765,0.1671,0.1459,0.4774,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49_0,0.3385,0.2218,0.14175,0.1769,0.1391,0.5774,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50_0,0.35955,0.25315,0.1468,0.1805,0.16965,0.42165,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51_0,0.34715,0.23475,0.13915,0.1737,0.1488,0.4944,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52_0,0.3613,0.2572,0.1588,0.1948,0.1715,0.434,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53_0,0.2701,0.1945,0.1362,0.161,0.1391,0.4344,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54_0,0.3674,0.251,0.149,0.1849,0.1603,0.4584,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55_0,0.3366,0.2163,0.1423,0.18165,0.1431,0.506,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56_0,0.3215,0.2082,0.1354,0.1691,0.135,0.5568,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57_0,0.2996,0.2065,0.1334,0.1712,0.1474,0.4264,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58_0,0.34955,0.24985,0.17,0.1972,0.1788,0.453,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59_0,0.3183,0.2379,0.1461,0.1756,0.1585,0.3866,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60_0,0.3608,0.2491,0.1496,0.18935,0.1624,0.49945,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61_0,0.36745,0.2766,0.14515,0.17995,0.16255,0.4504,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_62_0,0.2944,0.1936,0.1294,0.1597,0.1325,0.4804,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63_0,0.41215,0.32385,0.15955,0.1883,0.16955,0.5236,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
